,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,Sterling,US,66.2,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
593,Carauari,BR,74.73,overcast clouds,-4.8828,-66.8958,Hotel Fellip
594,Bossangoa,CF,70.54,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
595,Codrington,AU,62.15,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
596,La Asuncion,VE,76.33,few clouds,11.0333,-63.8628,Colinas de Matasiete
599,Rio Grande City,US,86.0,clear sky,26.3798,-98.8203,La Borde House
600,Varadero,CU,77.0,few clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
605,Pochutla,MX,84.2,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
606,Araguari,BR,78.8,clear sky,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
607,Kingston,JM,82.4,broken clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
611,Bo Phloi,TH,84.0,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
614,Mackay,AU,82.99,clear sky,-21.15,149.2,International Lodge Motel
616,Ayorou,NE,82.9,clear sky,14.7308,0.9174,Hotel Amenokal
620,Zhuhai,CN,75.99,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
622,Bhum,IN,78.84,clear sky,18.4667,75.6667,धनंजय होम
623,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
624,Solwezi,ZM,61.52,moderate rain,-12.1688,26.3894,Country Lodge Solwezi
628,Bengkulu,ID,76.68,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
630,Kannod,IN,75.92,clear sky,22.6667,76.7333,Puspendra Sardiya Kannod
632,Ciudad Bolivar,VE,83.82,overcast clouds,8.1222,-63.5497,Hotel Edi
634,Kaduna,NG,78.46,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
635,Kloulklubed,PW,77.0,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
637,Banjarmasin,ID,78.8,few clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
642,Acapulco,MX,82.4,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
644,Juruti,BR,73.78,broken clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
645,Lokoja,NG,86.5,scattered clouds,7.8024,6.742999999999999,Hotel Charvid
649,Gigmoto,PH,81.43,overcast clouds,13.7796,124.39,Cj's Travellers Inn
650,Vao,NC,78.3,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
651,San Andres,CO,78.8,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
653,Galesong,ID,75.2,light rain,-5.3166,119.3661,Sapriadi Appy
654,Da Nang,VN,75.2,mist,16.0678,108.2208,Sun River Hotel
656,Ugoofaaru,MV,83.61,overcast clouds,5.6667,73.0,Ungoofaaru Inn
659,Sawtell,AU,75.99,broken clouds,-30.3833,153.1,Island Beach House Sawtell
660,Grand Gaube,MU,75.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
662,Quelimane,MZ,71.73,clear sky,-17.8786,36.8883,Hotel Flamingo
663,Samarai,PG,83.98,overcast clouds,-10.6167,150.6667,Nuli Sapi
665,Ukiah,US,73.4,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
667,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
668,Aswan,EG,61.84,clear sky,24.0934,32.907,Nuba Nile
671,Maragogi,BR,77.43,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
673,Killin,US,73.4,clear sky,33.6123,-91.7412,US Forestry Department
674,Mattru,SL,78.15,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
675,Indiaroba,BR,74.35,broken clouds,-11.5192,-37.5117,Neide brito
676,Jizan,SA,78.8,clear sky,17.3333,42.6667,شهدان. ابوالحجر
678,Kuala Terengganu,MY,78.8,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
688,Conceicao Do Araguaia,BR,73.8,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
689,Yanam,IN,72.0,few clouds,16.7333,82.2167,The Regency Hotel
692,Talcahuano,CL,60.8,clear sky,-36.7167,-73.1167,Hotel Terramar
