,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Male,MV,82.4,moderate rain,4.1748,73.5089,Hotel Octave Maldives
408,Pacifica,US,61.0,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
413,Port Hedland,AU,82.4,clear sky,-20.3167,118.5667,The Esplanade Hotel
416,Santa Cruz,BO,78.8,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
417,Kirakira,SB,85.78,broken clouds,-10.4544,161.9205,SanBiz Lodge
418,Sao Joao Da Barra,BR,76.77,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
419,Balotra,IN,77.18,clear sky,25.8333,72.2333,Hotel City Square
420,Humaita,BR,77.14,broken clouds,-7.5061,-63.0208,Corrêa Hotel
422,Ho Chi Minh City,VN,80.6,few clouds,10.75,106.6667,Windsor Plaza Hotel
424,Abeche,TD,79.05,broken clouds,13.8292,20.8324,Assaleh Hamdan Haroune
425,Kahului,US,84.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
428,Camargo,MX,81.18,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
434,Sukumo,JP,63.52,clear sky,32.9333,132.7333,Sukumojo
435,Orocue,CO,77.22,moderate rain,4.7912,-71.3354,Hotel Brisas de San Miguel
436,Mount Pleasant,US,73.4,moderate rain,32.7941,-79.8626,Best Western Patriots Point
441,Sultanpur,IN,69.33,clear sky,26.2667,82.0667,OYO 49568 Vrindavan Guest House
442,Batticaloa,LK,79.41,moderate rain,7.7102,81.6924,Grand Star Guest House
443,Papetoai,PF,82.4,light rain,-17.4961,-149.8729,Fare Vaihere
445,Huarmey,PE,71.47,scattered clouds,-10.0681,-78.1522,Hotel Miramar
447,Gizo,SB,85.06,scattered clouds,-8.103,156.8419,Imagination Island
448,Ojinaga,MX,86.0,clear sky,29.5667,-104.4167,Suites Las Palmas
449,Teseney,ER,73.49,few clouds,15.11,36.6575,Sabrin Hotel
451,Abu Dhabi,AE,80.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
452,Kalabo,ZM,68.22,moderate rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
454,Kpalime,TG,75.9,scattered clouds,6.9,0.6333,Hotel La Lumiere Kpalimé
455,Nizwa,OM,74.53,scattered clouds,22.9333,57.5333,Orient Apartments
459,Benguela,AO,75.99,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
461,Santa Marta,CO,84.2,clear sky,11.2408,-74.199,Casa de Isabella
462,Nassau,US,66.2,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
464,Doha,QA,78.01,clear sky,25.2867,51.5333,Doha Marriott Hotel
467,Kieta,PG,83.17,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
468,Rioblanco,CO,63.52,overcast clouds,3.5308,-75.6806,hotel en tolima colombia
471,Cockburn Town,TC,77.61,clear sky,21.4612,-71.1419,Osprey Beach Hotel
473,Quibdo,CO,73.92,light rain,5.6947,-76.6611,Hotel Angeles
474,Porto Velho,BR,78.8,light rain,-8.7619,-63.9039,Hotel Central
479,Cabo San Lucas,MX,77.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
482,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
485,Neiafu,TO,84.2,light rain,-18.65,-173.9833,Mystic Sands
487,Champerico,GT,87.8,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
489,Chimoio,MZ,69.8,light rain,-19.1164,33.4833,Predio Livraria Ahmed
491,Sorada,IN,75.38,few clouds,19.75,84.4333,PWD Guest House
494,Iguatu,BR,76.39,overcast clouds,-6.3594,-39.2986,Diocesano Hotel
495,Ubatuba,BR,78.8,few clouds,-23.4339,-45.0711,Hotel Coquille
496,Gondang,ID,77.45,broken clouds,-7.0109,111.3189,Tempat kost Griyo Lestari
498,Lethem,GY,79.83,overcast clouds,3.3803,-59.7968,Savannah Inn
500,Sabana Grande De Boya,DO,78.8,scattered clouds,18.945,-69.7933,Balcones De Boya
502,Half Moon Bay,US,71.6,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
504,Iseyin,NG,79.56,overcast clouds,7.9667,3.6,"NYSC Permanent Orientation Camp, Iseyin, Oyo State"
506,Takoradi,GH,79.68,scattered clouds,4.8845,-1.7554,Raybow International Hotel
508,Bom Jesus,BR,77.02,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
509,Arlit,NE,65.75,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
510,Mbandaka,CD,69.51,overcast clouds,0.0487,18.2603,Guest House Epervier
511,Guaruja,BR,82.0,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
519,Buhe,CN,60.01,overcast clouds,30.2876,112.2298,Jingzhou Hongmen Hotel
520,Ruteng,ID,68.76,overcast clouds,-8.6136,120.4721,Hotel FX72 Ruteng
